word,meaning,topic,image_path,audio_path
father,,Gia đình,data/images/father.jpg,data/audio/father.mp3
mother,,Gia đình,data/images/mother.jpg,data/audio/mother.mp3
sister,,Gia đình,data/images/sister.jpg,data/audio/sister.mp3
brother,,Gia đình,data/images/brother.jpg,data/audio/brother.mp3
baby,,Gia đình,data/images/baby.jpg,data/audio/baby.mp3
grandfather,,Gia đình,data/images/grandfather.jpg,data/audio/grandfather.mp3
grandmother,,Gia đình,data/images/grandmother.jpg,data/audio/grandmother.mp3
uncle,,Gia đình,data/images/uncle.jpg,data/audio/uncle.mp3
aunt,,Gia đình,data/images/aunt.jpg,data/audio/aunt.mp3
cousin,,Gia đình,data/images/cousin.jpg,data/audio/cousin.mp3
head,,Các bộ phận cơ thể,data/images/head.jpg,data/audio/head.mp3
face,,Các bộ phận cơ thể,data/images/face.jpg,data/audio/face.mp3
hair,,Các bộ phận cơ thể,data/images/hair.jpg,data/audio/hair.mp3
eye,,Các bộ phận cơ thể,data/images/eye.jpg,data/audio/eye.mp3
ear,,Các bộ phận cơ thể,data/images/ear.jpg,data/audio/ear.mp3
nose,,Các bộ phận cơ thể,data/images/nose.jpg,data/audio/nose.mp3
mouth,,Các bộ phận cơ thể,data/images/mouth.jpg,data/audio/mouth.mp3
teeth,,Các bộ phận cơ thể,data/images/teeth.jpg,data/audio/teeth.mp3
hand,,Các bộ phận cơ thể,data/images/hand.jpg,data/audio/hand.mp3
arm,,Các bộ phận cơ thể,data/images/arm.jpg,data/audio/arm.mp3
leg,,Các bộ phận cơ thể,data/images/leg.jpg,data/audio/leg.mp3
foot,,Các bộ phận cơ thể,data/images/foot.jpg,data/audio/foot.mp3
finger,,Các bộ phận cơ thể,data/images/finger.jpg,data/audio/finger.mp3
toe,,Các bộ phận cơ thể,data/images/toe.jpg,data/audio/toe.mp3
stomach,,Các bộ phận cơ thể,data/images/stomach.jpg,data/audio/stomach.mp3
bed,,Đồ vật trong nhà,data/images/bed.jpg,data/audio/bed.mp3
chair,,Đồ vật trong nhà,data/images/chair.jpg,data/audio/chair.mp3
table,,Đồ vật trong nhà,data/images/table.jpg,data/audio/table.mp3
sofa,,Đồ vật trong nhà,data/images/sofa.jpg,data/audio/sofa.mp3
lamp,,Đồ vật trong nhà,data/images/lamp.jpg,data/audio/lamp.mp3
door,,Đồ vật trong nhà,data/images/door.jpg,data/audio/door.mp3
window,,Đồ vật trong nhà,data/images/window.jpg,data/audio/window.mp3
clock,,Đồ vật trong nhà,data/images/clock.jpg,data/audio/clock.mp3
pillow,,Đồ vật trong nhà,data/images/pillow.jpg,data/audio/pillow.mp3
blanket,,Đồ vật trong nhà,data/images/blanket.jpg,data/audio/blanket.mp3
fridge,,Đồ vật trong nhà,data/images/fridge.jpg,data/audio/fridge.mp3
cup,,Đồ vật trong nhà,data/images/cup.jpg,data/audio/cup.mp3
plate,,Đồ vật trong nhà,data/images/plate.jpg,data/audio/plate.mp3
spoon,,Đồ vật trong nhà,data/images/spoon.jpg,data/audio/spoon.mp3
fork,,Đồ vật trong nhà,data/images/fork.jpg,data/audio/fork.mp3
book,,Đồ dùng học tập,data/images/book.jpg,data/audio/book.mp3
notebook,,Đồ dùng học tập,data/images/notebook.jpg,data/audio/notebook.mp3
pen,,Đồ dùng học tập,data/images/pen.jpg,data/audio/pen.mp3
pencil,,Đồ dùng học tập,data/images/pencil.jpg,data/audio/pencil.mp3
ruler,,Đồ dùng học tập,data/images/ruler.jpg,data/audio/ruler.mp3
eraser,,Đồ dùng học tập,data/images/eraser.jpg,data/audio/eraser.mp3
bag,,Đồ dùng học tập,data/images/bag.jpg,data/audio/bag.mp3
sharpener,,Đồ dùng học tập,data/images/sharpener.jpg,data/audio/sharpener.mp3
glue,,Đồ dùng học tập,data/images/glue.jpg,data/audio/glue.mp3
scissors,,Đồ dùng học tập,data/images/scissors.jpg,data/audio/scissors.mp3
crayon,,Đồ dùng học tập,data/images/crayon.jpg,data/audio/crayon.mp3
paper,,Đồ dùng học tập,data/images/paper.jpg,data/audio/paper.mp3
desk,,Đồ dùng học tập,data/images/desk.jpg,data/audio/desk.mp3
board,,Đồ dùng học tập,data/images/board.jpg,data/audio/board.mp3
marker,,Đồ dùng học tập,data/images/marker.jpg,data/audio/marker.mp3
red,,Màu sắc,data/images/red.jpg,data/audio/red.mp3
blue,,Màu sắc,data/images/blue.jpg,data/audio/blue.mp3
yellow,,Màu sắc,data/images/yellow.jpg,data/audio/yellow.mp3
green,,Màu sắc,data/images/green.jpg,data/audio/green.mp3
orange,,Màu sắc,data/images/orange.jpg,data/audio/orange.mp3
purple,,Màu sắc,data/images/purple.jpg,data/audio/purple.mp3
pink,,Màu sắc,data/images/pink.jpg,data/audio/pink.mp3
black,,Màu sắc,data/images/black.jpg,data/audio/black.mp3
white,,Màu sắc,data/images/white.jpg,data/audio/white.mp3
brown,,Màu sắc,data/images/brown.jpg,data/audio/brown.mp3
gray,,Màu sắc,data/images/gray.jpg,data/audio/gray.mp3
gold,,Màu sắc,data/images/gold.jpg,data/audio/gold.mp3
silver,,Màu sắc,data/images/silver.jpg,data/audio/silver.mp3
cat,,Động vật,data/images/cat.jpg,data/audio/cat.mp3
dog,,Động vật,data/images/dog.jpg,data/audio/dog.mp3
bird,,Động vật,data/images/bird.jpg,data/audio/bird.mp3
fish,,Động vật,data/images/fish.jpg,data/audio/fish.mp3
cow,,Động vật,data/images/cow.jpg,data/audio/cow.mp3
pig,,Động vật,data/images/pig.jpg,data/audio/pig.mp3
horse,,Động vật,data/images/horse.jpg,data/audio/horse.mp3
sheep,,Động vật,data/images/sheep.jpg,data/audio/sheep.mp3
duck,,Động vật,data/images/duck.jpg,data/audio/duck.mp3
chicken,,Động vật,data/images/chicken.jpg,data/audio/chicken.mp3
lion,,Động vật,data/images/lion.jpg,data/audio/lion.mp3
tiger,,Động vật,data/images/tiger.jpg,data/audio/tiger.mp3
elephant,,Động vật,data/images/elephant.jpg,data/audio/elephant.mp3
monkey,,Động vật,data/images/monkey.jpg,data/audio/monkey.mp3
bear,,Động vật,data/images/bear.jpg,data/audio/bear.mp3
snake,,Động vật,data/images/snake.jpg,data/audio/snake.mp3
rabbit,,Động vật,data/images/rabbit.jpg,data/audio/rabbit.mp3
frog,,Động vật,data/images/frog.jpg,data/audio/frog.mp3
giraffe,,Động vật,data/images/giraffe.jpg,data/audio/giraffe.mp3
zebra,,Động vật,data/images/zebra.jpg,data/audio/zebra.mp3
one,,Số đếm,data/images/one.jpg,data/audio/one.mp3
two,,Số đếm,data/images/two.jpg,data/audio/two.mp3
three,,Số đếm,data/images/three.jpg,data/audio/three.mp3
four,,Số đếm,data/images/four.jpg,data/audio/four.mp3
five,,Số đếm,data/images/five.jpg,data/audio/five.mp3
six,,Số đếm,data/images/six.jpg,data/audio/six.mp3
seven,,Số đếm,data/images/seven.jpg,data/audio/seven.mp3
eight,,Số đếm,data/images/eight.jpg,data/audio/eight.mp3
nine,,Số đếm,data/images/nine.jpg,data/audio/nine.mp3
ten,,Số đếm,data/images/ten.jpg,data/audio/ten.mp3
eleven,,Số đếm,data/images/eleven.jpg,data/audio/eleven.mp3
twelve,,Số đếm,data/images/twelve.jpg,data/audio/twelve.mp3
thirteen,,Số đếm,data/images/thirteen.jpg,data/audio/thirteen.mp3
fourteen,,Số đếm,data/images/fourteen.jpg,data/audio/fourteen.mp3
fifteen,,Số đếm,data/images/fifteen.jpg,data/audio/fifteen.mp3
sixteen,,Số đếm,data/images/sixteen.jpg,data/audio/sixteen.mp3
seventeen,,Số đếm,data/images/seventeen.jpg,data/audio/seventeen.mp3
eighteen,,Số đếm,data/images/eighteen.jpg,data/audio/eighteen.mp3
nineteen,,Số đếm,data/images/nineteen.jpg,data/audio/nineteen.mp3
twenty,,Số đếm,data/images/twenty.jpg,data/audio/twenty.mp3
sun,,Thời tiết,data/images/sun.jpg,data/audio/sun.mp3
rain,,Thời tiết,data/images/rain.jpg,data/audio/rain.mp3
wind,,Thời tiết,data/images/wind.jpg,data/audio/wind.mp3
snow,,Thời tiết,data/images/snow.jpg,data/audio/snow.mp3
cloud,,Thời tiết,data/images/cloud.jpg,data/audio/cloud.mp3
rainbow,,Thời tiết,data/images/rainbow.jpg,data/audio/rainbow.mp3
hot,,Thời tiết,data/images/hot.jpg,data/audio/hot.mp3
cold,,Thời tiết,data/images/cold.jpg,data/audio/cold.mp3
warm,,Thời tiết,data/images/warm.jpg,data/audio/warm.mp3
storm,,Thời tiết,data/images/storm.jpg,data/audio/storm.mp3
apple,,Thức ăn và đồ uống,data/images/apple.jpg,data/audio/apple.mp3
banana,,Thức ăn và đồ uống,data/images/banana.jpg,data/audio/banana.mp3
orange,,Thức ăn và đồ uống,data/images/orange.jpg,data/audio/orange.mp3
grape,,Thức ăn và đồ uống,data/images/grape.jpg,data/audio/grape.mp3
watermelon,,Thức ăn và đồ uống,data/images/watermelon.jpg,data/audio/watermelon.mp3
mango,,Thức ăn và đồ uống,data/images/mango.jpg,data/audio/mango.mp3
strawberry,,Thức ăn và đồ uống,data/images/strawberry.jpg,data/audio/strawberry.mp3
rice,,Thức ăn và đồ uống,data/images/rice.jpg,data/audio/rice.mp3
bread,,Thức ăn và đồ uống,data/images/bread.jpg,data/audio/bread.mp3
milk,,Thức ăn và đồ uống,data/images/milk.jpg,data/audio/milk.mp3
water,,Thức ăn và đồ uống,data/images/water.jpg,data/audio/water.mp3
juice,,Thức ăn và đồ uống,data/images/juice.jpg,data/audio/juice.mp3
tea,,Thức ăn và đồ uống,data/images/tea.jpg,data/audio/tea.mp3
egg,,Thức ăn và đồ uống,data/images/egg.jpg,data/audio/egg.mp3
cheese,,Thức ăn và đồ uống,data/images/cheese.jpg,data/audio/cheese.mp3
chicken,,Thức ăn và đồ uống,data/images/chicken.jpg,data/audio/chicken.mp3
fish,,Thức ăn và đồ uống,data/images/fish.jpg,data/audio/fish.mp3
meat,,Thức ăn và đồ uống,data/images/meat.jpg,data/audio/meat.mp3
soup,,Thức ăn và đồ uống,data/images/soup.jpg,data/audio/soup.mp3
ice cream,,Thức ăn và đồ uống,data/images/ice cream.jpg,data/audio/ice cream.mp3
tree,,Đồ vật ngoài trời,data/images/tree.jpg,data/audio/tree.mp3
flower,,Đồ vật ngoài trời,data/images/flower.jpg,data/audio/flower.mp3
grass,,Đồ vật ngoài trời,data/images/grass.jpg,data/audio/grass.mp3
stone,,Đồ vật ngoài trời,data/images/stone.jpg,data/audio/stone.mp3
sky,,Đồ vật ngoài trời,data/images/sky.jpg,data/audio/sky.mp3
star,,Đồ vật ngoài trời,data/images/star.jpg,data/audio/star.mp3
moon,,Đồ vật ngoài trời,data/images/moon.jpg,data/audio/moon.mp3
sun,,Đồ vật ngoài trời,data/images/sun.jpg,data/audio/sun.mp3
river,,Đồ vật ngoài trời,data/images/river.jpg,data/audio/river.mp3
